pilot_order,review_order,passage_id,capture_index,relative_time_ms,rgb_filename,rgb_prev_3,rgb_prev_2,rgb_prev_1,rgb_next_1,rgb_next_2,rgb_next_3,original_label,candidate_reason,final_review,notes
21,213,0032az,108,15604.0,0032az_11792_2025_01_25_17_15_26_438791_RGB_640_480_3.png,0032az_11789_2025_01_25_17_15_26_130694_RGB_640_480_3.png,0032az_11790_2025_01_25_17_15_26_231190_RGB_640_480_3.png,0032az_11791_2025_01_25_17_15_26_338630_RGB_640_480_3.png,0032az_11793_2025_01_25_17_15_26_531227_RGB_640_480_3.png,0032az_11794_2025_01_25_17_15_26_624272_RGB_640_480_3.png,0032az_11795_2025_01_25_17_15_26_735440_RGB_640_480_3.png,background,boundary,,
22,235,0041vd,23,2228.0,0041vd_6625_2025_01_25_16_50_19_766922_RGB_640_480_3.png,0041vd_6622_2025_01_25_16_50_19_488977_RGB_640_480_3.png,0041vd_6623_2025_01_25_16_50_19_586730_RGB_640_480_3.png,0041vd_6624_2025_01_25_16_50_19_671659_RGB_640_480_3.png,0041vd_6626_2025_01_25_16_50_19_869780_RGB_640_480_3.png,0041vd_6627_2025_01_25_16_50_19_968203_RGB_640_480_3.png,0041vd_6628_2025_01_25_16_50_20_074168_RGB_640_480_3.png,background,high_pdi,,
23,241,0041vds2,22,2141.0,0041vd_6659_2025_01_25_16_50_28_648449_RGB_640_480_3.png,0041vd_6656_2025_01_25_16_50_28_342229_RGB_640_480_3.png,0041vd_6657_2025_01_25_16_50_28_443896_RGB_640_480_3.png,0041vd_6658_2025_01_25_16_50_28_547438_RGB_640_480_3.png,0041vd_6660_2025_01_25_16_50_28_749068_RGB_640_480_3.png,0041vd_6661_2025_01_25_16_50_28_849992_RGB_640_480_3.png,0041vd_6662_2025_01_25_16_50_28_944270_RGB_640_480_3.png,background,boundary+high_pdi,,
24,242,0041vds2,23,2242.0,0041vd_6660_2025_01_25_16_50_28_749068_RGB_640_480_3.png,0041vd_6657_2025_01_25_16_50_28_443896_RGB_640_480_3.png,0041vd_6658_2025_01_25_16_50_28_547438_RGB_640_480_3.png,0041vd_6659_2025_01_25_16_50_28_648449_RGB_640_480_3.png,0041vd_6661_2025_01_25_16_50_28_849992_RGB_640_480_3.png,0041vd_6662_2025_01_25_16_50_28_944270_RGB_640_480_3.png,0041vd_6663_2025_01_25_16_50_29_044153_RGB_640_480_3.png,background,boundary+high_pdi,,
25,244,0041vds2,25,2437.0,0041vd_6662_2025_01_25_16_50_28_944270_RGB_640_480_3.png,0041vd_6659_2025_01_25_16_50_28_648449_RGB_640_480_3.png,0041vd_6660_2025_01_25_16_50_28_749068_RGB_640_480_3.png,0041vd_6661_2025_01_25_16_50_28_849992_RGB_640_480_3.png,0041vd_6663_2025_01_25_16_50_29_044153_RGB_640_480_3.png,0041vd_6664_2025_01_25_16_50_29_140671_RGB_640_480_3.png,0041vd_6665_2025_01_25_16_50_29_271845_RGB_640_480_3.png,background,high_pdi,,
26,248,0043az,29,2838.0,0043az_8920_2025_01_25_16_59_32_302431_RGB_640_480_3.png,0043az_8917_2025_01_25_16_59_32_017322_RGB_640_480_3.png,0043az_8918_2025_01_25_16_59_32_116855_RGB_640_480_3.png,0043az_8919_2025_01_25_16_59_32_212486_RGB_640_480_3.png,0043az_8921_2025_01_25_16_59_32_388950_RGB_640_480_3.png,0043az_8922_2025_01_25_16_59_32_485660_RGB_640_480_3.png,0043az_8923_2025_01_25_16_59_32_595794_RGB_640_480_3.png,background,boundary,,
27,290,0050vd,64,6357.0,0050vd_9789_2025_01_25_17_03_58_182865_RGB_640_480_3.png,0050vd_9786_2025_01_25_17_03_57_893006_RGB_640_480_3.png,0050vd_9787_2025_01_25_17_03_57_989347_RGB_640_480_3.png,0050vd_9788_2025_01_25_17_03_58_085641_RGB_640_480_3.png,0050vd_9790_2025_01_25_17_03_58_288369_RGB_640_480_3.png,0050vd_9791_2025_01_25_17_03_58_568506_RGB_640_480_3.png,0050vd_9792_2025_01_25_17_03_59_054046_RGB_640_480_3.png,background,high_pdi,,
28,292,0052az,22,2108.0,0052az_6886_2025_01_25_16_52_05_789841_RGB_640_480_3.png,0052az_6883_2025_01_25_16_52_05_497158_RGB_640_480_3.png,0052az_6884_2025_01_25_16_52_05_591689_RGB_640_480_3.png,0052az_6885_2025_01_25_16_52_05_689119_RGB_640_480_3.png,0052az_6887_2025_01_25_16_52_05_890770_RGB_640_480_3.png,0052az_6888_2025_01_25_16_52_05_999370_RGB_640_480_3.png,0052az_6889_2025_01_25_16_52_06_092423_RGB_640_480_3.png,background,boundary,,
29,315,0054az,57,5464.0,0054az_9478_2025_01_25_17_02_23_255347_RGB_640_480_3.png,0054az_9475_2025_01_25_17_02_22_960099_RGB_640_480_3.png,0054az_9476_2025_01_25_17_02_23_054339_RGB_640_480_3.png,0054az_9477_2025_01_25_17_02_23_160036_RGB_640_480_3.png,0054az_9479_2025_01_25_17_02_23_354086_RGB_640_480_3.png,0054az_9480_2025_01_25_17_02_23_462347_RGB_640_480_3.png,0054az_9481_2025_01_25_17_02_23_565316_RGB_640_480_3.png,background,high_pdi,,
30,337,0057,106,10480.0,0057_17179_2025_01_26_09_30_20_344483_RGB_640_480_3.png,0057_17176_2025_01_26_09_30_20_057848_RGB_640_480_3.png,0057_17177_2025_01_26_09_30_20_155593_RGB_640_480_3.png,0057_17178_2025_01_26_09_30_20_248696_RGB_640_480_3.png,0057_17180_2025_01_26_09_30_20_438527_RGB_640_480_3.png,0057_17181_2025_01_26_09_30_20_535469_RGB_640_480_3.png,0057_17182_2025_01_26_09_30_20_634536_RGB_640_480_3.png,background,high_pdi,,
31,338,0057,109,10771.0,0057_17182_2025_01_26_09_30_20_634536_RGB_640_480_3.png,0057_17179_2025_01_26_09_30_20_344483_RGB_640_480_3.png,0057_17180_2025_01_26_09_30_20_438527_RGB_640_480_3.png,0057_17181_2025_01_26_09_30_20_535469_RGB_640_480_3.png,0057_17183_2025_01_26_09_30_20_724952_RGB_640_480_3.png,0057_17184_2025_01_26_09_30_20_818546_RGB_640_480_3.png,0057_17185_2025_01_26_09_30_20_914912_RGB_640_480_3.png,background,high_pdi,,
32,344,0059,68,6702.0,59_3777_2025_01_25_10_59_17_826399_RGB_640_480_3.png,59_3774_2025_01_25_10_59_17_524590_RGB_640_480_3.png,59_3775_2025_01_25_10_59_17_632920_RGB_640_480_3.png,59_3776_2025_01_25_10_59_17_727693_RGB_640_480_3.png,59_3778_2025_01_25_10_59_17_928771_RGB_640_480_3.png,59_3779_2025_01_25_10_59_18_029796_RGB_640_480_3.png,59_3780_2025_01_25_10_59_18_128498_RGB_640_480_3.png,background,boundary,,
33,348,0059az,52,5211.0,0059az_10563_2025_01_25_17_09_39_616015_RGB_640_480_3.png,0059az_10560_2025_01_25_17_09_39_323212_RGB_640_480_3.png,0059az_10561_2025_01_25_17_09_39_422427_RGB_640_480_3.png,0059az_10562_2025_01_25_17_09_39_521199_RGB_640_480_3.png,0059az_10564_2025_01_25_17_09_39_726304_RGB_640_480_3.png,0059az_10565_2025_01_25_17_09_39_825121_RGB_640_480_3.png,0059az_10566_2025_01_25_17_09_39_933027_RGB_640_480_3.png,background,boundary,,
34,353,0060az,38,3861.0,0060az_10075_2025_01_25_17_05_38_494260_RGB_640_480_3.png,0060az_10072_2025_01_25_17_05_38_176567_RGB_640_480_3.png,0060az_10073_2025_01_25_17_05_38_291842_RGB_640_480_3.png,0060az_10074_2025_01_25_17_05_38_396276_RGB_640_480_3.png,0060az_10076_2025_01_25_17_05_38_630042_RGB_640_480_3.png,0060az_10077_2025_01_25_17_05_38_737115_RGB_640_480_3.png,0060az_10078_2025_01_25_17_05_38_852702_RGB_640_480_3.png,background,boundary,,
35,357,0062,124,11779.0,0062_5158_2025_01_25_11_08_01_846265_RGB_640_480_3.png,0062_5155_2025_01_25_11_08_01_547538_RGB_640_480_3.png,0062_5156_2025_01_25_11_08_01_646167_RGB_640_480_3.png,0062_5157_2025_01_25_11_08_01_747257_RGB_640_480_3.png,0062_5159_2025_01_25_11_08_01_948090_RGB_640_480_3.png,0062_5160_2025_01_25_11_08_02_046567_RGB_640_480_3.png,0062_5161_2025_01_25_11_08_02_139686_RGB_640_480_3.png,background,boundary,,
36,369,0063vd,57,5709.0,0063vd_11229_2025_01_25_17_12_52_061066_RGB_640_480_3.png,0063vd_11226_2025_01_25_17_12_51_730378_RGB_640_480_3.png,0063vd_11227_2025_01_25_17_12_51_848194_RGB_640_480_3.png,0063vd_11228_2025_01_25_17_12_51_948084_RGB_640_480_3.png,0063vd_11230_2025_01_25_17_12_52_165428_RGB_640_480_3.png,0063vd_11231_2025_01_25_17_12_52_265165_RGB_640_480_3.png,0063vd_11232_2025_01_25_17_12_52_371580_RGB_640_480_3.png,background,high_pdi,,
37,370,0065az,31,3128.0,0065az_9675_2025_01_25_17_03_38_620682_RGB_640_480_3.png,0065az_9672_2025_01_25_17_03_38_300807_RGB_640_480_3.png,0065az_9673_2025_01_25_17_03_38_405004_RGB_640_480_3.png,0065az_9674_2025_01_25_17_03_38_505471_RGB_640_480_3.png,0065az_9676_2025_01_25_17_03_38_715271_RGB_640_480_3.png,0065az_9677_2025_01_25_17_03_38_846763_RGB_640_480_3.png,0065az_9678_2025_01_25_17_03_38_976290_RGB_640_480_3.png,background,high_pdi,,
38,377,0065vd,23,2181.0,0065vd_7903_2025_01_25_16_55_11_645585_RGB_640_480_3.png,0065vd_7900_2025_01_25_16_55_11_333387_RGB_640_480_3.png,0065vd_7901_2025_01_25_16_55_11_435613_RGB_640_480_3.png,0065vd_7902_2025_01_25_16_55_11_540167_RGB_640_480_3.png,0065vd_7904_2025_01_25_16_55_11_733267_RGB_640_480_3.png,0065vd_7905_2025_01_25_16_55_11_825768_RGB_640_480_3.png,0065vd_7906_2025_01_25_16_55_11_935262_RGB_640_480_3.png,background,boundary,,
39,389,0067vd,25,2407.0,0067vd_6539_2025_01_25_16_49_39_286097_RGB_640_480_3.png,0067vd_6536_2025_01_25_16_49_38_944051_RGB_640_480_3.png,0067vd_6537_2025_01_25_16_49_39_048235_RGB_640_480_3.png,0067vd_6538_2025_01_25_16_49_39_158737_RGB_640_480_3.png,0067vd_6540_2025_01_25_16_49_39_377491_RGB_640_480_3.png,0067vd_6541_2025_01_25_16_49_39_469184_RGB_640_480_3.png,0067vd_6542_2025_01_25_16_49_39_562065_RGB_640_480_3.png,background,high_pdi,,
40,447,0068vds2,200,20425.0,0068vd_7781_2025_01_25_16_54_21_093682_RGB_640_480_3.png,0068vd_7778_2025_01_25_16_54_20_793930_RGB_640_480_3.png,0068vd_7779_2025_01_25_16_54_20_893760_RGB_640_480_3.png,0068vd_7780_2025_01_25_16_54_20_990686_RGB_640_480_3.png,0068vd_7782_2025_01_25_16_54_21_189523_RGB_640_480_3.png,0068vd_7783_2025_01_25_16_54_21_296965_RGB_640_480_3.png,0068vd_7784_2025_01_25_16_54_21_400282_RGB_640_480_3.png,background,boundary,,
41,462,0069az,123,12192.0,0069az_6789_2025_01_25_16_51_19_234957_RGB_640_480_3.png,0069az_6786_2025_01_25_16_51_18_923394_RGB_640_480_3.png,0069az_6787_2025_01_25_16_51_19_032395_RGB_640_480_3.png,0069az_6788_2025_01_25_16_51_19_126839_RGB_640_480_3.png,0069az_6790_2025_01_25_16_51_19_327190_RGB_640_480_3.png,0069az_6791_2025_01_25_16_51_19_423091_RGB_640_480_3.png,0069az_6792_2025_01_25_16_51_19_525215_RGB_640_480_3.png,background,high_pdi,,
42,463,0069az,124,12288.0,0069az_6790_2025_01_25_16_51_19_327190_RGB_640_480_3.png,0069az_6787_2025_01_25_16_51_19_032395_RGB_640_480_3.png,0069az_6788_2025_01_25_16_51_19_126839_RGB_640_480_3.png,0069az_6789_2025_01_25_16_51_19_234957_RGB_640_480_3.png,0069az_6791_2025_01_25_16_51_19_423091_RGB_640_480_3.png,0069az_6792_2025_01_25_16_51_19_525215_RGB_640_480_3.png,0069az_6793_2025_01_25_16_51_19_631598_RGB_640_480_3.png,background,high_pdi,,
43,467,0071az,40,3936.0,0071az_11353_2025_01_25_17_13_47_018869_RGB_640_480_3.png,0071az_11350_2025_01_25_17_13_46_693283_RGB_640_480_3.png,0071az_11351_2025_01_25_17_13_46_789128_RGB_640_480_3.png,0071az_11352_2025_01_25_17_13_46_895479_RGB_640_480_3.png,0071az_11354_2025_01_25_17_13_47_148182_RGB_640_480_3.png,0071az_11355_2025_01_25_17_13_47_258970_RGB_640_480_3.png,0071az_11356_2025_01_25_17_13_47_361055_RGB_640_480_3.png,background,boundary+high_pdi,,
44,470,0071az,45,4484.0,0071az_11358_2025_01_25_17_13_47_567162_RGB_640_480_3.png,0071az_11355_2025_01_25_17_13_47_258970_RGB_640_480_3.png,0071az_11356_2025_01_25_17_13_47_361055_RGB_640_480_3.png,0071az_11357_2025_01_25_17_13_47_467484_RGB_640_480_3.png,0071az_11359_2025_01_25_17_13_47_674411_RGB_640_480_3.png,0071az_11360_2025_01_25_17_13_47_780270_RGB_640_480_3.png,0071az_11361_2025_01_25_17_13_47_887321_RGB_640_480_3.png,background,high_pdi,,
45,471,0071vd,19,1845.0,0071vd_6975_2025_01_25_16_52_23_767662_RGB_640_480_3.png,0071vd_6972_2025_01_25_16_52_23_452741_RGB_640_480_3.png,0071vd_6973_2025_01_25_16_52_23_552174_RGB_640_480_3.png,0071vd_6974_2025_01_25_16_52_23_671490_RGB_640_480_3.png,0071vd_6976_2025_01_25_16_52_23_857320_RGB_640_480_3.png,0071vd_6977_2025_01_25_16_52_23_961497_RGB_640_480_3.png,0071vd_6978_2025_01_25_16_52_24_063380_RGB_640_480_3.png,background,high_pdi,,
46,506,0117vd,34,3332.0,0117vd_11963_2025_01_25_17_16_02_399223_RGB_640_480_3.png,0117vd_11960_2025_01_25_17_16_02_087450_RGB_640_480_3.png,0117vd_11961_2025_01_25_17_16_02_200346_RGB_640_480_3.png,0117vd_11962_2025_01_25_17_16_02_291047_RGB_640_480_3.png,0117vd_11964_2025_01_25_17_16_02_510690_RGB_640_480_3.png,0117vd_11965_2025_01_25_17_16_02_619022_RGB_640_480_3.png,0117vd_11966_2025_01_25_17_16_02_737981_RGB_640_480_3.png,background,boundary+high_pdi,,
47,508,0118vd,21,2104.0,0118vd_12101_2025_01_25_17_16_57_227897_RGB_640_480_3.png,0118vd_12098_2025_01_25_17_16_56_926339_RGB_640_480_3.png,0118vd_12099_2025_01_25_17_16_57_025010_RGB_640_480_3.png,0118vd_12100_2025_01_25_17_16_57_127926_RGB_640_480_3.png,0118vd_12102_2025_01_25_17_16_57_329610_RGB_640_480_3.png,0118vd_12103_2025_01_25_17_16_57_435118_RGB_640_480_3.png,0118vd_12104_2025_01_25_17_16_57_530848_RGB_640_480_3.png,background,boundary,,
48,526,0121vd,34,3363.0,0121vd_12541_2025_01_25_17_19_46_941380_RGB_640_480_3.png,0121vd_12538_2025_01_25_17_19_46_640801_RGB_640_480_3.png,0121vd_12539_2025_01_25_17_19_46_742585_RGB_640_480_3.png,0121vd_12540_2025_01_25_17_19_46_839339_RGB_640_480_3.png,0121vd_12542_2025_01_25_17_19_47_048059_RGB_640_480_3.png,0121vd_12543_2025_01_25_17_19_47_149190_RGB_640_480_3.png,0121vd_12544_2025_01_25_17_19_47_247440_RGB_640_480_3.png,background,boundary+high_pdi,,
49,527,0121vd,35,3469.0,0121vd_12542_2025_01_25_17_19_47_048059_RGB_640_480_3.png,0121vd_12539_2025_01_25_17_19_46_742585_RGB_640_480_3.png,0121vd_12540_2025_01_25_17_19_46_839339_RGB_640_480_3.png,0121vd_12541_2025_01_25_17_19_46_941380_RGB_640_480_3.png,0121vd_12543_2025_01_25_17_19_47_149190_RGB_640_480_3.png,0121vd_12544_2025_01_25_17_19_47_247440_RGB_640_480_3.png,0121vd_12545_2025_01_25_17_19_47_347911_RGB_640_480_3.png,background,boundary+high_pdi,,
50,537,0122vd,61,6662.0,0122vd_10645_2025_01_25_17_10_02_845418_RGB_640_480_3.png,0122vd_10642_2025_01_25_17_10_02_549874_RGB_640_480_3.png,0122vd_10643_2025_01_25_17_10_02_643744_RGB_640_480_3.png,0122vd_10644_2025_01_25_17_10_02_751445_RGB_640_480_3.png,0122vd_10646_2025_01_25_17_10_02_938268_RGB_640_480_3.png,0122vd_10647_2025_01_25_17_10_03_040589_RGB_640_480_3.png,,background,high_pdi,,
51,539,0123vd,24,2327.0,0123vd_12756_2025_01_25_17_20_34_712595_RGB_640_480_3.png,0123vd_12753_2025_01_25_17_20_34_441142_RGB_640_480_3.png,0123vd_12754_2025_01_25_17_20_34_533877_RGB_640_480_3.png,0123vd_12755_2025_01_25_17_20_34_625550_RGB_640_480_3.png,0123vd_12757_2025_01_25_17_20_34_821731_RGB_640_480_3.png,0123vd_12759_2025_01_25_17_20_35_042760_RGB_640_480_3.png,0123vd_12760_2025_01_25_17_20_35_142412_RGB_640_480_3.png,background,boundary+high_pdi,,
