review_order,passage_id,capture_index,relative_time_ms,rgb_filename,rgb_prev_3,rgb_prev_2,rgb_prev_1,rgb_next_1,rgb_next_2,rgb_next_3,original_label,candidate_reason,final_review,notes
11,0005az,74,7734.0,0005az_10856_2025_01_25_17_11_10_791906_RGB_640_480_3.png,0005az_10853_2025_01_25_17_11_10_480024_RGB_640_480_3.png,0005az_10854_2025_01_25_17_11_10_580516_RGB_640_480_3.png,0005az_10855_2025_01_25_17_11_10_684462_RGB_640_480_3.png,0005az_10857_2025_01_25_17_11_10_892154_RGB_640_480_3.png,0005az_10858_2025_01_25_17_11_10_998277_RGB_640_480_3.png,0005az_10859_2025_01_25_17_11_11_106460_RGB_640_480_3.png,background,boundary,,
12,0005az,75,7834.0,0005az_10857_2025_01_25_17_11_10_892154_RGB_640_480_3.png,0005az_10854_2025_01_25_17_11_10_580516_RGB_640_480_3.png,0005az_10855_2025_01_25_17_11_10_684462_RGB_640_480_3.png,0005az_10856_2025_01_25_17_11_10_791906_RGB_640_480_3.png,0005az_10858_2025_01_25_17_11_10_998277_RGB_640_480_3.png,0005az_10859_2025_01_25_17_11_11_106460_RGB_640_480_3.png,0005az_10860_2025_01_25_17_11_11_193641_RGB_640_480_3.png,background,boundary,,
13,0005az,76,7940.0,0005az_10858_2025_01_25_17_11_10_998277_RGB_640_480_3.png,0005az_10855_2025_01_25_17_11_10_684462_RGB_640_480_3.png,0005az_10856_2025_01_25_17_11_10_791906_RGB_640_480_3.png,0005az_10857_2025_01_25_17_11_10_892154_RGB_640_480_3.png,0005az_10859_2025_01_25_17_11_11_106460_RGB_640_480_3.png,0005az_10860_2025_01_25_17_11_11_193641_RGB_640_480_3.png,0005az_10861_2025_01_25_17_11_11_300686_RGB_640_480_3.png,background,boundary,,
14,0006,77,7934.0,006_4105_2025_01_25_11_01_15_889031_RGB_640_480_3.png,006_4102_2025_01_25_11_01_15_579323_RGB_640_480_3.png,006_4103_2025_01_25_11_01_15_682231_RGB_640_480_3.png,006_4104_2025_01_25_11_01_15_785594_RGB_640_480_3.png,006_4106_2025_01_25_11_01_15_998325_RGB_640_480_3.png,006_4107_2025_01_25_11_01_16_101589_RGB_640_480_3.png,006_4108_2025_01_25_11_01_16_202939_RGB_640_480_3.png,background,boundary,,
15,0006,78,8045.0,006_4106_2025_01_25_11_01_15_998325_RGB_640_480_3.png,006_4103_2025_01_25_11_01_15_682231_RGB_640_480_3.png,006_4104_2025_01_25_11_01_15_785594_RGB_640_480_3.png,006_4105_2025_01_25_11_01_15_889031_RGB_640_480_3.png,006_4107_2025_01_25_11_01_16_101589_RGB_640_480_3.png,006_4108_2025_01_25_11_01_16_202939_RGB_640_480_3.png,006_4109_2025_01_25_11_01_16_306415_RGB_640_480_3.png,background,boundary,,
16,0006,79,8149.0,006_4107_2025_01_25_11_01_16_101589_RGB_640_480_3.png,006_4104_2025_01_25_11_01_15_785594_RGB_640_480_3.png,006_4105_2025_01_25_11_01_15_889031_RGB_640_480_3.png,006_4106_2025_01_25_11_01_15_998325_RGB_640_480_3.png,006_4108_2025_01_25_11_01_16_202939_RGB_640_480_3.png,006_4109_2025_01_25_11_01_16_306415_RGB_640_480_3.png,006_4110_2025_01_25_11_01_16_420278_RGB_640_480_3.png,background,boundary,,
17,0006,91,9425.0,006_4119_2025_01_25_11_01_17_378309_RGB_640_480_3.png,006_4116_2025_01_25_11_01_17_063840_RGB_640_480_3.png,006_4117_2025_01_25_11_01_17_167756_RGB_640_480_3.png,006_4118_2025_01_25_11_01_17_273705_RGB_640_480_3.png,006_4120_2025_01_25_11_01_17_488641_RGB_640_480_3.png,006_4121_2025_01_25_11_01_17_590814_RGB_640_480_3.png,006_4122_2025_01_25_11_01_17_691917_RGB_640_480_3.png,background,boundary,,
18,0006,92,9536.0,006_4120_2025_01_25_11_01_17_488641_RGB_640_480_3.png,006_4117_2025_01_25_11_01_17_167756_RGB_640_480_3.png,006_4118_2025_01_25_11_01_17_273705_RGB_640_480_3.png,006_4119_2025_01_25_11_01_17_378309_RGB_640_480_3.png,006_4121_2025_01_25_11_01_17_590814_RGB_640_480_3.png,006_4122_2025_01_25_11_01_17_691917_RGB_640_480_3.png,006_4123_2025_01_25_11_01_17_801265_RGB_640_480_3.png,background,boundary,,
19,0006,93,9638.0,006_4121_2025_01_25_11_01_17_590814_RGB_640_480_3.png,006_4118_2025_01_25_11_01_17_273705_RGB_640_480_3.png,006_4119_2025_01_25_11_01_17_378309_RGB_640_480_3.png,006_4120_2025_01_25_11_01_17_488641_RGB_640_480_3.png,006_4122_2025_01_25_11_01_17_691917_RGB_640_480_3.png,006_4123_2025_01_25_11_01_17_801265_RGB_640_480_3.png,006_4124_2025_01_25_11_01_17_927216_RGB_640_480_3.png,background,boundary,,
20,000742,42,4083.0,000742_380_2025_01_25_10_30_31_672418_RGB_640_480_3.png,000742_377_2025_01_25_10_30_31_371457_RGB_640_480_3.png,000742_378_2025_01_25_10_30_31_466890_RGB_640_480_3.png,000742_379_2025_01_25_10_30_31_559615_RGB_640_480_3.png,000742_381_2025_01_25_10_30_31_777355_RGB_640_480_3.png,000742_382_2025_01_25_10_30_31_875256_RGB_640_480_3.png,000742_383_2025_01_25_10_30_31_982632_RGB_640_480_3.png,background,boundary,,
21,000742,43,4189.0,000742_381_2025_01_25_10_30_31_777355_RGB_640_480_3.png,000742_378_2025_01_25_10_30_31_466890_RGB_640_480_3.png,000742_379_2025_01_25_10_30_31_559615_RGB_640_480_3.png,000742_380_2025_01_25_10_30_31_672418_RGB_640_480_3.png,000742_382_2025_01_25_10_30_31_875256_RGB_640_480_3.png,000742_383_2025_01_25_10_30_31_982632_RGB_640_480_3.png,000742_384_2025_01_25_10_30_32_076916_RGB_640_480_3.png,background,boundary,,
22,000742,44,4286.0,000742_382_2025_01_25_10_30_31_875256_RGB_640_480_3.png,000742_379_2025_01_25_10_30_31_559615_RGB_640_480_3.png,000742_380_2025_01_25_10_30_31_672418_RGB_640_480_3.png,000742_381_2025_01_25_10_30_31_777355_RGB_640_480_3.png,000742_383_2025_01_25_10_30_31_982632_RGB_640_480_3.png,000742_384_2025_01_25_10_30_32_076916_RGB_640_480_3.png,000742_385_2025_01_25_10_30_32_175281_RGB_640_480_3.png,background,boundary,,
23,000742,89,8805.0,000742_427_2025_01_25_10_30_36_394255_RGB_640_480_3.png,000742_424_2025_01_25_10_30_36_118291_RGB_640_480_3.png,000742_425_2025_01_25_10_30_36_209466_RGB_640_480_3.png,000742_426_2025_01_25_10_30_36_300640_RGB_640_480_3.png,000742_428_2025_01_25_10_30_36_495873_RGB_640_480_3.png,000742_429_2025_01_25_10_30_36_633651_RGB_640_480_3.png,000742_430_2025_01_25_10_30_36_730541_RGB_640_480_3.png,background,boundary,,
24,000742,90,8907.0,000742_428_2025_01_25_10_30_36_495873_RGB_640_480_3.png,000742_425_2025_01_25_10_30_36_209466_RGB_640_480_3.png,000742_426_2025_01_25_10_30_36_300640_RGB_640_480_3.png,000742_427_2025_01_25_10_30_36_394255_RGB_640_480_3.png,000742_429_2025_01_25_10_30_36_633651_RGB_640_480_3.png,000742_430_2025_01_25_10_30_36_730541_RGB_640_480_3.png,000742_431_2025_01_25_10_30_36_825406_RGB_640_480_3.png,background,boundary,,
25,000742,91,9045.0,000742_429_2025_01_25_10_30_36_633651_RGB_640_480_3.png,000742_426_2025_01_25_10_30_36_300640_RGB_640_480_3.png,000742_427_2025_01_25_10_30_36_394255_RGB_640_480_3.png,000742_428_2025_01_25_10_30_36_495873_RGB_640_480_3.png,000742_430_2025_01_25_10_30_36_730541_RGB_640_480_3.png,000742_431_2025_01_25_10_30_36_825406_RGB_640_480_3.png,000742_432_2025_01_25_10_30_36_922487_RGB_640_480_3.png,background,boundary,,
26,0007vm,36,3810.0,0007vm_6474_2025_01_25_16_49_18_885043_RGB_640_480_3.png,0007vm_6471_2025_01_25_16_49_18_582480_RGB_640_480_3.png,0007vm_6472_2025_01_25_16_49_18_671589_RGB_640_480_3.png,0007vm_6473_2025_01_25_16_49_18_770460_RGB_640_480_3.png,0007vm_6475_2025_01_25_16_49_18_971442_RGB_640_480_3.png,0007vm_6476_2025_01_25_16_49_19_077030_RGB_640_480_3.png,0007vm_6477_2025_01_25_16_49_19_181647_RGB_640_480_3.png,background,boundary,,
27,0007vm,37,3896.0,0007vm_6475_2025_01_25_16_49_18_971442_RGB_640_480_3.png,0007vm_6472_2025_01_25_16_49_18_671589_RGB_640_480_3.png,0007vm_6473_2025_01_25_16_49_18_770460_RGB_640_480_3.png,0007vm_6474_2025_01_25_16_49_18_885043_RGB_640_480_3.png,0007vm_6476_2025_01_25_16_49_19_077030_RGB_640_480_3.png,0007vm_6477_2025_01_25_16_49_19_181647_RGB_640_480_3.png,0007vm_6479_2025_01_25_16_49_19_370758_RGB_640_480_3.png,background,boundary,,
28,0007vm,38,4002.0,0007vm_6476_2025_01_25_16_49_19_077030_RGB_640_480_3.png,0007vm_6473_2025_01_25_16_49_18_770460_RGB_640_480_3.png,0007vm_6474_2025_01_25_16_49_18_885043_RGB_640_480_3.png,0007vm_6475_2025_01_25_16_49_18_971442_RGB_640_480_3.png,0007vm_6477_2025_01_25_16_49_19_181647_RGB_640_480_3.png,0007vm_6479_2025_01_25_16_49_19_370758_RGB_640_480_3.png,0007vm_6480_2025_01_25_16_49_19_468879_RGB_640_480_3.png,background,boundary,,
29,0007vm,60,6419.0,0007vm_6500_2025_01_25_16_49_21_494771_RGB_640_480_3.png,0007vm_6497_2025_01_25_16_49_21_197452_RGB_640_480_3.png,0007vm_6498_2025_01_25_16_49_21_291793_RGB_640_480_3.png,0007vm_6499_2025_01_25_16_49_21_398183_RGB_640_480_3.png,0007vm_6501_2025_01_25_16_49_21_597841_RGB_640_480_3.png,0007vm_6502_2025_01_25_16_49_21_707944_RGB_640_480_3.png,0007vm_6503_2025_01_25_16_49_21_804414_RGB_640_480_3.png,background,boundary,,
30,0007vm,61,6523.0,0007vm_6501_2025_01_25_16_49_21_597841_RGB_640_480_3.png,0007vm_6498_2025_01_25_16_49_21_291793_RGB_640_480_3.png,0007vm_6499_2025_01_25_16_49_21_398183_RGB_640_480_3.png,0007vm_6500_2025_01_25_16_49_21_494771_RGB_640_480_3.png,0007vm_6502_2025_01_25_16_49_21_707944_RGB_640_480_3.png,0007vm_6503_2025_01_25_16_49_21_804414_RGB_640_480_3.png,0007vm_6504_2025_01_25_16_49_21_902767_RGB_640_480_3.png,background,boundary,,
31,0007vm,62,6629.0,0007vm_6502_2025_01_25_16_49_21_707944_RGB_640_480_3.png,0007vm_6499_2025_01_25_16_49_21_398183_RGB_640_480_3.png,0007vm_6500_2025_01_25_16_49_21_494771_RGB_640_480_3.png,0007vm_6501_2025_01_25_16_49_21_597841_RGB_640_480_3.png,0007vm_6503_2025_01_25_16_49_21_804414_RGB_640_480_3.png,0007vm_6504_2025_01_25_16_49_21_902767_RGB_640_480_3.png,0007vm_6505_2025_01_25_16_49_21_995143_RGB_640_480_3.png,background,boundary,,
32,0008vd,45,4673.0,0008vd_8589_2025_01_25_16_57_39_871333_RGB_640_480_3.png,0008vd_8586_2025_01_25_16_57_39_542793_RGB_640_480_3.png,0008vd_8587_2025_01_25_16_57_39_662459_RGB_640_480_3.png,0008vd_8588_2025_01_25_16_57_39_769118_RGB_640_480_3.png,0008vd_8591_2025_01_25_16_57_40_058404_RGB_640_480_3.png,0008vd_8593_2025_01_25_16_57_40_266336_RGB_640_480_3.png,0008vd_8594_2025_01_25_16_57_40_360048_RGB_640_480_3.png,background,boundary,,
33,0008vd,46,4860.0,0008vd_8591_2025_01_25_16_57_40_058404_RGB_640_480_3.png,0008vd_8587_2025_01_25_16_57_39_662459_RGB_640_480_3.png,0008vd_8588_2025_01_25_16_57_39_769118_RGB_640_480_3.png,0008vd_8589_2025_01_25_16_57_39_871333_RGB_640_480_3.png,0008vd_8593_2025_01_25_16_57_40_266336_RGB_640_480_3.png,0008vd_8594_2025_01_25_16_57_40_360048_RGB_640_480_3.png,0008vd_8595_2025_01_25_16_57_40_467192_RGB_640_480_3.png,background,boundary,,
34,0008vd,47,5068.0,0008vd_8593_2025_01_25_16_57_40_266336_RGB_640_480_3.png,0008vd_8588_2025_01_25_16_57_39_769118_RGB_640_480_3.png,0008vd_8589_2025_01_25_16_57_39_871333_RGB_640_480_3.png,0008vd_8591_2025_01_25_16_57_40_058404_RGB_640_480_3.png,0008vd_8594_2025_01_25_16_57_40_360048_RGB_640_480_3.png,0008vd_8595_2025_01_25_16_57_40_467192_RGB_640_480_3.png,0008vd_8596_2025_01_25_16_57_40_559716_RGB_640_480_3.png,background,boundary,,
35,0008vd,76,8071.0,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8620_2025_01_25_16_57_42_966579_RGB_640_480_3.png,0008vd_8621_2025_01_25_16_57_43_067635_RGB_640_480_3.png,0008vd_8622_2025_01_25_16_57_43_160269_RGB_640_480_3.png,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,background,boundary,,
36,0008vd,77,8178.0,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8621_2025_01_25_16_57_43_067635_RGB_640_480_3.png,0008vd_8622_2025_01_25_16_57_43_160269_RGB_640_480_3.png,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,0008vd_8628_2025_01_25_16_57_43_818073_RGB_640_480_3.png,background,boundary,,
37,0008vd,78,8371.0,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8622_2025_01_25_16_57_43_160269_RGB_640_480_3.png,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,0008vd_8628_2025_01_25_16_57_43_818073_RGB_640_480_3.png,0008vd_8629_2025_01_25_16_57_43_942681_RGB_640_480_3.png,background,boundary+high_pdi,,
38,0008vd,79,8480.0,0008vd_8627_2025_01_25_16_57_43_678398_RGB_640_480_3.png,0008vd_8623_2025_01_25_16_57_43_269443_RGB_640_480_3.png,0008vd_8624_2025_01_25_16_57_43_376367_RGB_640_480_3.png,0008vd_8626_2025_01_25_16_57_43_569051_RGB_640_480_3.png,0008vd_8628_2025_01_25_16_57_43_818073_RGB_640_480_3.png,0008vd_8629_2025_01_25_16_57_43_942681_RGB_640_480_3.png,0008vd_8630_2025_01_25_16_57_44_047440_RGB_640_480_3.png,background,high_pdi,,
39,0008vm,25,2381.0,0008vm_7850_2025_01_25_16_54_41_341135_RGB_640_480_3.png,0008vm_7847_2025_01_25_16_54_41_075197_RGB_640_480_3.png,0008vm_7848_2025_01_25_16_54_41_153692_RGB_640_480_3.png,0008vm_7849_2025_01_25_16_54_41_248433_RGB_640_480_3.png,0008vm_7851_2025_01_25_16_54_41_426625_RGB_640_480_3.png,0008vm_7852_2025_01_25_16_54_41_523671_RGB_640_480_3.png,0008vm_7853_2025_01_25_16_54_41_622090_RGB_640_480_3.png,background,boundary,,
40,0008vm,26,2466.0,0008vm_7851_2025_01_25_16_54_41_426625_RGB_640_480_3.png,0008vm_7848_2025_01_25_16_54_41_153692_RGB_640_480_3.png,0008vm_7849_2025_01_25_16_54_41_248433_RGB_640_480_3.png,0008vm_7850_2025_01_25_16_54_41_341135_RGB_640_480_3.png,0008vm_7852_2025_01_25_16_54_41_523671_RGB_640_480_3.png,0008vm_7853_2025_01_25_16_54_41_622090_RGB_640_480_3.png,0008vm_7854_2025_01_25_16_54_41_720737_RGB_640_480_3.png,background,boundary,,
41,0008vm,27,2563.0,0008vm_7852_2025_01_25_16_54_41_523671_RGB_640_480_3.png,0008vm_7849_2025_01_25_16_54_41_248433_RGB_640_480_3.png,0008vm_7850_2025_01_25_16_54_41_341135_RGB_640_480_3.png,0008vm_7851_2025_01_25_16_54_41_426625_RGB_640_480_3.png,0008vm_7853_2025_01_25_16_54_41_622090_RGB_640_480_3.png,0008vm_7854_2025_01_25_16_54_41_720737_RGB_640_480_3.png,0008vm_7855_2025_01_25_16_54_41_821383_RGB_640_480_3.png,background,boundary,,
42,0008vm,39,3782.0,0008vm_7864_2025_01_25_16_54_42_742901_RGB_640_480_3.png,0008vm_7861_2025_01_25_16_54_42_414305_RGB_640_480_3.png,0008vm_7862_2025_01_25_16_54_42_521718_RGB_640_480_3.png,0008vm_7863_2025_01_25_16_54_42_620330_RGB_640_480_3.png,0008vm_7865_2025_01_25_16_54_42_847829_RGB_640_480_3.png,0008vm_7866_2025_01_25_16_54_42_940556_RGB_640_480_3.png,0008vm_7867_2025_01_25_16_54_43_046557_RGB_640_480_3.png,background,boundary,,
43,0008vm,40,3887.0,0008vm_7865_2025_01_25_16_54_42_847829_RGB_640_480_3.png,0008vm_7862_2025_01_25_16_54_42_521718_RGB_640_480_3.png,0008vm_7863_2025_01_25_16_54_42_620330_RGB_640_480_3.png,0008vm_7864_2025_01_25_16_54_42_742901_RGB_640_480_3.png,0008vm_7866_2025_01_25_16_54_42_940556_RGB_640_480_3.png,0008vm_7867_2025_01_25_16_54_43_046557_RGB_640_480_3.png,0008vm_7868_2025_01_25_16_54_43_149389_RGB_640_480_3.png,background,boundary,,
44,0008vm,41,3980.0,0008vm_7866_2025_01_25_16_54_42_940556_RGB_640_480_3.png,0008vm_7863_2025_01_25_16_54_42_620330_RGB_640_480_3.png,0008vm_7864_2025_01_25_16_54_42_742901_RGB_640_480_3.png,0008vm_7865_2025_01_25_16_54_42_847829_RGB_640_480_3.png,0008vm_7867_2025_01_25_16_54_43_046557_RGB_640_480_3.png,0008vm_7868_2025_01_25_16_54_43_149389_RGB_640_480_3.png,0008vm_7869_2025_01_25_16_54_43_248776_RGB_640_480_3.png,background,boundary,,
45,0009ro,40,3903.0,0009ro_7997_2025_01_25_16_55_35_098117_RGB_640_480_3.png,0009ro_7994_2025_01_25_16_55_34_793916_RGB_640_480_3.png,0009ro_7995_2025_01_25_16_55_34_895104_RGB_640_480_3.png,0009ro_7996_2025_01_25_16_55_34_993796_RGB_640_480_3.png,0009ro_7998_2025_01_25_16_55_35_192998_RGB_640_480_3.png,0009ro_7999_2025_01_25_16_55_35_281097_RGB_640_480_3.png,0009ro_8000_2025_01_25_16_55_35_380944_RGB_640_480_3.png,background,boundary,,
46,0009ro,41,3997.0,0009ro_7998_2025_01_25_16_55_35_192998_RGB_640_480_3.png,0009ro_7995_2025_01_25_16_55_34_895104_RGB_640_480_3.png,0009ro_7996_2025_01_25_16_55_34_993796_RGB_640_480_3.png,0009ro_7997_2025_01_25_16_55_35_098117_RGB_640_480_3.png,0009ro_7999_2025_01_25_16_55_35_281097_RGB_640_480_3.png,0009ro_8000_2025_01_25_16_55_35_380944_RGB_640_480_3.png,0009ro_8001_2025_01_25_16_55_35_482915_RGB_640_480_3.png,background,boundary,,
47,0009ro,42,4085.0,0009ro_7999_2025_01_25_16_55_35_281097_RGB_640_480_3.png,0009ro_7996_2025_01_25_16_55_34_993796_RGB_640_480_3.png,0009ro_7997_2025_01_25_16_55_35_098117_RGB_640_480_3.png,0009ro_7998_2025_01_25_16_55_35_192998_RGB_640_480_3.png,0009ro_8000_2025_01_25_16_55_35_380944_RGB_640_480_3.png,0009ro_8001_2025_01_25_16_55_35_482915_RGB_640_480_3.png,0009ro_8002_2025_01_25_16_55_35_576116_RGB_640_480_3.png,background,boundary,,
48,0009ro,52,5079.0,0009ro_8009_2025_01_25_16_55_36_275731_RGB_640_480_3.png,0009ro_8006_2025_01_25_16_55_35_973861_RGB_640_480_3.png,0009ro_8007_2025_01_25_16_55_36_075044_RGB_640_480_3.png,0009ro_8008_2025_01_25_16_55_36_174583_RGB_640_480_3.png,0009ro_8010_2025_01_25_16_55_36_375517_RGB_640_480_3.png,0009ro_8011_2025_01_25_16_55_36_478294_RGB_640_480_3.png,0009ro_8012_2025_01_25_16_55_36_574807_RGB_640_480_3.png,background,boundary,,
49,0009ro,53,5180.0,0009ro_8010_2025_01_25_16_55_36_375517_RGB_640_480_3.png,0009ro_8007_2025_01_25_16_55_36_075044_RGB_640_480_3.png,0009ro_8008_2025_01_25_16_55_36_174583_RGB_640_480_3.png,0009ro_8009_2025_01_25_16_55_36_275731_RGB_640_480_3.png,0009ro_8011_2025_01_25_16_55_36_478294_RGB_640_480_3.png,0009ro_8012_2025_01_25_16_55_36_574807_RGB_640_480_3.png,0009ro_8013_2025_01_25_16_55_36_676393_RGB_640_480_3.png,background,boundary,,
50,0009ro,54,5281.0,0009ro_8011_2025_01_25_16_55_36_478294_RGB_640_480_3.png,0009ro_8008_2025_01_25_16_55_36_174583_RGB_640_480_3.png,0009ro_8009_2025_01_25_16_55_36_275731_RGB_640_480_3.png,0009ro_8010_2025_01_25_16_55_36_375517_RGB_640_480_3.png,0009ro_8012_2025_01_25_16_55_36_574807_RGB_640_480_3.png,0009ro_8013_2025_01_25_16_55_36_676393_RGB_640_480_3.png,0009ro_8014_2025_01_25_16_55_36_775646_RGB_640_480_3.png,background,boundary,,
51,0009vd,31,5828.0,0009vd_13195_2025_01_25_17_24_32_967431_RGB_640_480_3.png,0009vd_13192_2025_01_25_17_24_32_675685_RGB_640_480_3.png,0009vd_13193_2025_01_25_17_24_32_776410_RGB_640_480_3.png,0009vd_13194_2025_01_25_17_24_32_866953_RGB_640_480_3.png,0009vd_13196_2025_01_25_17_24_33_063430_RGB_640_480_3.png,0009vd_13197_2025_01_25_17_24_33_161004_RGB_640_480_3.png,0009vd_13198_2025_01_25_17_24_33_257651_RGB_640_480_3.png,background,boundary,,
52,0009vd,32,5924.0,0009vd_13196_2025_01_25_17_24_33_063430_RGB_640_480_3.png,0009vd_13193_2025_01_25_17_24_32_776410_RGB_640_480_3.png,0009vd_13194_2025_01_25_17_24_32_866953_RGB_640_480_3.png,0009vd_13195_2025_01_25_17_24_32_967431_RGB_640_480_3.png,0009vd_13197_2025_01_25_17_24_33_161004_RGB_640_480_3.png,0009vd_13198_2025_01_25_17_24_33_257651_RGB_640_480_3.png,0009vd_13199_2025_01_25_17_24_33_349802_RGB_640_480_3.png,background,boundary,,
